PRODUTOS,Cod,CUSTO
,,
G-ROLLZ | Bamboo Unbleached - 50 KS Papers (50 Booklets Display),GR02A-DIS,"120,50"
G-ROLLZ | Lightly Dyed Blue - 50 KS Papers (50 Booklets Display),GR05A-DIS,"117,57"
G-ROLLZ | Lightly Dyed Pink - 50 KS Papers (50 Booklets Display),GR06A-UD,"120,44"
G-ROLLZ | Medicago Extra Thin - 50 KS Papers (50 Booklets Display),GR07A-UD,"120,44"
G-ROLLZ | Bamboo Unbleached - 50 '1¼' Papers (50 Booklets Display),GR302A-DIS,"90,65"
G-ROLLZ | Lightly Dyed Pink - 50 '1¼' Papers (50 Booklets Display),GR306A-DIS,"90,65"
G-ROLLZ | Medicago  Extra Thin - 50 '1¼' Papers (25 Booklets Display),GR307A-DIS,"53,94"
G-ROLLZ | Banksy's Graffiti KS Set 4 - Bamboo Unbleached - 50 KS Papers + Tips & Tray,BG71A-DIS,"126,20"
G-ROLLZ | Banksy's Graffiti KS Set 9 - Lightly Dyed Pink - 50 KS Papers + Tips & Tray,BG75B-DIS,"126,20"
G-ROLLZ | Banksy's Graffiti - Organic Extra Thin - 50 '1¼' Papers + Tips (24 Booklets Display),BG352A-DIS,"128,26"
G-ROLLZ | Banksy's Graffiti - Bamboo Unbleached - 50 KS Papers + Tips (24 Booklets Display),BG31A-DIS,"129,38"
G-ROLLZ | Cheech & Chong™ Mix Set 2 - Medicago Extra Thin - 50 KS Papers + Tips & Tray,CC76A-DIS,"125,11"
G-ROLLZ | Cheech & Chong™ - Organic Green - 50 '1¼' Papers + Tips (24 Booklets Display),CC353A-DIS,"119,62"
G-ROLLZ | Cheech & Chong™ - Medicago Extra Thin - 50 KS Papers + Tips (24 Booklets Display),CC36A-DIS,"128,12"
G-ROLLZ | 'Kung Fu Dogs' Bamboo Unbleached - 50 KS Papers + Tips & Tray (16 Booklets Display),PR71A-DIS,"126,34"
G-ROLLZ | 'Reggae Rap' - Medicago Extra Thin - 50 KS Papers + Tips & Tray,PR76B-DIS,"125,11"
G-ROLLZ | 'Vegas Pop' - Organic Extra Thin - 50 KS Papers + Tips & Tray (16 Booklets Display),PR72C-DIS,"126,34"
G-ROLLZ | 'Mexican Diamonds' - Lightly Dyed Pink - 50 KS Papers + Tips & Tray (16 Booklets Display),PR75A-DIS,"126,34"
G-ROLLZ | 'Psychedelic - Roxy' - Medicago Extra Thin - 50 KS Papers + Tips & Tray,PR76A-DIS,"125,11"
G-ROLLZ | KS Organic  Extra Thin Pre-Rolled Single Cones 72pcs in Display,GR1150C-DIS,"98,87"
G-ROLLZ | KS Bio Green Pre-Rolled Single Cones 72pcs in Display,GR1150D-DIS,"98,87"
G-ROLLZ | KS Bamboo Unbleached Pre-Rolled Single Cones 72pcs in Display,GR1150B-DIS,"96,39"
"G-ROLLZ | 2x Original  Pre-Rolled  Wraps (15 pack Display, 30 wraps)",GR1520A-DIS,"64,58"
"G-ROLLZ | 2x Mango Kush Pre-Rolled  Wraps (15 pack Display, 30 wraps)",GR1520B-DIS,"64,58"
"G-ROLLZ | 2x Banana OG Kush Pre-Rolled  Wraps (15 pack Display, 30 wraps)",GR1520E-DIS,"64,58"
"G-ROLLZ | 2x White Chocolate Pre-Rolled  Wraps (15 pack Display, 30 wraps)",GR1520F-DIS,"64,58"
G-ROLLZ Golden Cone Display 6pcs (24k GOLD),GR1575A-DIS,"236,04"
G-ROLLZ | Banksy's Graffiti - Bamboo Unbleached - 3 KS Cones In Each Pack and 24 packs in Display,BG1152KA-DIS,"104,78"
G-ROLLZ | Banksy's Graffiti - Organic Extra Thin - 3 KS Cones In Each Pack and,BG1153KA-DIS,"166,51"
"G-ROLLZ | 4x Strawberry Flavoured Wraps + Corn Husk Tips (15 pack Display, 60 wraps) - 'Pop'",PR1515A-DIS,"64,68"
G-ROLLZ | 4x Bubblegum Flavoured Wraps + Corn Husk Tips- 'Diamonds',PR1515B-DIS,"64,68"
"G-ROLLZ | 4x Grape Flavoured  Wraps + Corn Husk Tips (15 pack Display, 60 wraps) - 'Rap'",PR1515D-DIS,"64,68"
"G-ROLLZ | Banksy's Graffiti 'Thug for Life' PINK Filter Tips 2,5 X 6cm 50 Tips Book 24/Display",BG1902C-DIS,"57,93"
"G-ROLLZ | Pets Rock 'Two Rap' Blue Filter Tips 2,5 X 6cm 50 Tips Book 24/Display",PR1902A-DIS,"57,93"
